$\lambda_M$,$M_\mathrm{min}$,$M_\mathrm{max}$,$\lambda_\mu$,$\mu_\mathrm{min}$,$\mu_\mathrm{max}$,$\mu_a$,$\sigma_a$,$R$
0.9998963945296312,0.36002900953170325,0.2747617074181517,0.18970161624533777,0.8880024865312889,0.19995855781185246,0.43213841690841276,0.31123083298798176,1.0
1.0,0.16361753538142906,0.639282015878495,0.6438844781958347,0.5291681049361409,0.8384535726613739,0.7461742031987113,0.24473593372454264,0.9998849384420665
0.3526731132599755,0.4451483827942648,0.10570190063354451,0.08802934311437145,0.5561853951317106,0.80649105257308,0.535622985439591,0.6262087362454152,0.9728798488385018
0.9964834134333607,0.5217442269370531,0.8108076427148049,0.04946665103739304,0.13210643535341696,0.7630992849607314,0.005157660297737662,0.6918297972101747,1.0
0.996415770609319,0.07939611165417618,0.34658412077766915,0.0,0.3911154556315847,0.9766482024546541,0.7109807754969045,0.027804931030737483,1.0
1.0,0.03873239436619718,0.8614389036924248,0.00038066235249333843,0.09783022459078797,0.5484392843547773,0.8550628092881614,0.5601446516939474,1.0
0.33642887294216967,0.6976572393414943,0.33864499788940483,0.00031658927817644573,0.5347192908400169,0.03471929084001688,0.22330097087378642,0.8955255382017729,1.0
0.24983021247695741,0.7685068400116426,0.6452896090035898,0.0,0.09721548462210149,0.031046861356359756,0.22004462986319978,0.6402444940331813,1.0
1.0,0.80644750254842,0.20553007135575943,0.01452599388379205,0.5862640163098879,0.7106269113149847,0.7099898063200816,0.4133537206931702,1.0
0.998804399808704,0.21030607364897178,0.3003347680535629,0.0,0.30296508847441417,0.28275944524151125,0.25119560019129605,0.5936154949784792,1.0
1.0,0.0028810659944179346,0.925632484019087,0.0,0.03241199243720176,0.9418384802376879,0.4321598991626902,0.8665706311335194,1.0
0.6215485614983588,0.2596061015640085,0.5905580227843213,0.0028963120293492954,0.1444294265302182,0.17696466499324193,0.9887043830855378,0.9361845916200039,1.0
0.9108889133062301,0.45478518844083066,0.8672673332600813,0.0002197560707614548,0.00549390176903637,0.5074167673881991,0.010548291396549829,0.3056806944291836,1.0
1.0,0.46839368785916263,0.2838639058651829,0.0,0.20541822493842926,0.8745781264252486,0.32244823497217917,0.2657119401623643,1.0
1.0,0.5541025641025641,0.8585897435897436,0.011153846153846153,0.39525641025641023,0.9966666666666667,0.035,0.26282051282051283,1.0
1.0,0.00624926305860158,0.22591675509963446,0.04421648390519986,0.13441811107180757,0.611956137247966,0.07958967102935975,0.7405966277561609,1.0
1.0,0.20985635875277356,0.8946630853672778,0.37767137685390634,0.22655611351161975,0.4320915566974191,0.07450659815485228,0.4056989372883335,1.0
0.9996976720749773,0.14088481306056636,0.05744230575430817,0.0004031039000302328,0.0054419026504081425,0.9655346165474151,0.7538042930565353,0.3194598407739595,1.0
0.8276980538627875,0.057499508551208965,0.917731472380578,0.0,0.025850206408492234,0.5094358167878907,0.5638883428346766,0.4031845881659131,1.0
1.0,0.5920134983127109,0.9722159730033746,0.0008998875140607424,0.5258717660292463,0.48998875140607423,0.7583802024746906,0.17536557930258717,1.0
0.7654436860068259,0.18293515358361775,0.5358361774744027,0.0,0.4743174061433447,0.6199658703071672,0.43139931740614335,0.40750853242320817,1.0
1.0,0.6686447862419765,0.6765168947559647,0.6246820879253966,0.13213031367324693,0.6206854789875257,0.16470873198498243,0.7589923701102095,1.0
0.9998083556918359,0.42401303181295513,0.4056151782292066,0.0,0.04925258719816022,0.9323495592180913,0.278075891146033,0.8594288999616712,1.0
0.8007688828584351,0.9527363184079602,0.10945273631840796,0.08966530981456354,0.08423790140208051,0.824400723654455,0.6930122116689281,0.8820669380370872,0.9841700587969244
0.9982773471145564,0.7572289897871293,0.7599360157499693,0.019687461547926666,0.271686969361388,0.8604651162790697,0.8554202042574136,0.23145071982281284,1.0
0.9420647995606809,0.0686436024162548,0.04585392641405821,0.11394838001098298,0.5411861614497528,0.24258649093904447,0.5628775398132894,0.35269082921471717,0.907605711147721
1.0,0.7696746121831253,0.48846008323874385,0.01863412788497919,0.4764472190692395,0.6270336738554673,0.3413734392735528,0.5234581914491109,0.9995270525917518
1.0,0.34224327524953474,0.7330400947386229,0.0,0.04813060395872103,0.853831838944341,0.2953814921333108,0.6038741329724243,1.0
0.6257963446475195,0.48950391644908614,0.29765013054830286,0.0013577023498694517,0.5827676240208878,0.7218798955613577,0.5864229765013055,0.4831331592689295,1.0
1.0,0.17840755735492578,0.4065677013045434,0.0,0.09653621232568602,0.10841205578047683,0.2471434997750787,0.7264957264957265,1.0
0.8842295118926841,0.6670048472551009,0.5293653477623718,0.0,0.050050727088265135,0.9142148574005186,0.15691579303347988,0.7319355202344718,1.0
0.34622322435174746,0.15851183765501692,0.906989853438557,0.0,0.4252536640360767,0.7286358511837655,0.22119503945885005,0.8818489289740699,1.0
0.45537145911277394,0.34861036878674506,0.7704436130411545,0.0,0.21739711384286478,0.2640299305184393,0.6201229289150187,0.059192944949225015,1.0
0.8355903108907115,0.7976349418271982,0.8075529277131414,0.0,0.5029563227160023,0.6975014304787336,0.006484836925424375,0.8106046156780469,1.0
0.7518430588529301,0.05897788329376484,0.8463076346370111,0.010621017118580533,0.08909159065350493,0.6703736098962889,0.10845932775209297,0.34324628264400847,1.0
0.985419058553387,0.9826636050516647,0.217451205510907,0.07393800229621125,0.6554535017221584,0.9140068886337543,0.44270952927669344,0.039380022962112515,0.9859931113662457
0.9980986183293193,0.8566358220306757,0.09139307897071872,0.0,0.04652047154265433,0.8302699961972366,0.22258841424768666,0.9688173406008366,1.0
0.8621019870720613,0.07050514723485755,0.6577687335408188,0.0,0.05937275556619583,0.03567153459420637,0.44338041656691407,0.43919080679913813,1.0
1.0,0.7991125901275652,0.9219079312257349,0.4291735995562951,0.7274542429284526,0.6634498058790904,0.0875207986688852,0.9523017193566279,1.0
0.9997449630196379,0.3275950012751849,0.0784238714613619,0.3771996939556236,0.38752869166029075,0.8770721754654425,0.8283601122162714,0.04195358326957409,0.9988523335883703
1.0,0.31661341853035146,0.41512247071352504,0.0,0.5291799787007455,0.00979765708200213,0.1270500532481363,0.24121405750798722,1.0
0.9862634052295457,0.015062055669357755,0.7194842752138811,0.0020484395710326547,0.985178937221352,0.9940956741776118,0.37341848415471746,0.7815399445716351,0.9963851066393541
0.9978406391708055,0.24584323040380046,0.03832865471820341,0.005074497948607213,0.00021593608291945585,0.9917944288490607,0.49989203195854026,0.4415892895702872,1.0
0.9968486421355084,0.4412827880248401,0.6654926313838169,0.021781444063397905,0.014829919362313468,0.5704884604689962,0.7391787932153119,0.3571229956437112,0.9743257021039948
1.0,0.3275913870806209,0.413720580871307,0.0,0.3029544316474712,0.958237356034051,0.42513770655983973,0.05338007010515774,1.0
1.0,0.8255310580891976,0.34813248766737137,0.0030202355783751134,0.7687506292157454,0.4936071680257727,0.057988523104802174,0.057787174066243834,1.0
1.0,0.08692660550458715,0.16857798165137614,0.0011467889908256881,0.48302752293577983,0.6456422018348624,0.01548165137614679,0.0915137614678899,1.0
1.0,0.3246606334841629,0.108710407239819,0.0,0.16527149321266968,0.9306561085972851,0.14524886877828055,0.07296380090497738,1.0
0.6453963347317289,0.7004857584455729,0.34919408257893575,0.0,0.6218812099801281,0.5229631265179951,0.372267608743652,0.9685361006844778,1.0
1.0,0.4647920604914934,0.16280718336483932,0.0031899810964083177,0.6436672967863895,0.9340737240075614,0.15949905482041588,0.9898393194706995,1.0
0.9998805542283803,0.7785475394171046,0.28989488772097466,0.17498805542283802,0.03989488772097468,0.039536550406115624,0.6077400860009555,0.47396082178690874,1.0
1.0,0.039541234298197704,0.9212452211906063,0.0,0.003932277444019661,0.8831239759694156,0.343200436919716,0.19617695248498088,1.0
0.999899568143015,0.6643567339560108,0.6661645073817415,0.00030129557095510696,0.5261624987446017,0.3715978708446319,0.2050818519634428,0.4807672993873657,1.0
1.0,0.5051421657592257,0.13127646702964307,0.00020165355918531962,0.5882234321435773,0.7030651340996169,0.2300867110304497,0.2378503730590845,1.0
0.9891138944164813,0.44235046236685005,0.2194779351515861,0.00023410979749502515,0.38897342853798433,0.5558937141519372,0.7837996020133443,0.3913145265129346,1.0
1.0,0.2737620276930298,0.3089650316827036,0.9213799577563953,0.029453180004693734,0.38523820699366346,0.6909176249706641,0.6838770241727294,1.0
1.0,0.9698741999558597,0.007724564113882146,0.02184948135069521,0.2872434341205032,0.7698079894063121,0.8619510041933348,0.8146104612668286,1.0
1.0,0.22984399190186972,0.46218887697987376,0.0013099916636894128,0.5549601047993331,0.5055376920328689,0.5581755388829344,0.5051804215791355,1.0
0.7946099964383236,0.8895880327674225,0.4436661522023032,0.0,0.040603110530689775,0.9401638371126677,0.5451739285290277,0.8330761011516087,1.0
1.0,0.40843385504934704,0.6005383311733625,0.0,0.3386501844282724,0.0836407137872595,0.14624663543016647,0.7262486292493271,1.0
0.9995721925133689,0.7790374331550802,0.9688770053475936,0.027593582887700533,0.004705882352941176,0.7315508021390374,0.13818181818181818,0.8207486631016043,1.0
1.0,0.3022912885662432,0.8718239564428312,0.0024954627949183303,0.17093920145190564,0.07282214156079855,0.011229582577132486,0.8695553539019963,1.0
1.0,0.24331883157240522,0.2020923969339134,0.00031075201988812925,0.8594365030039361,0.8225605966438782,0.8041226434638492,0.44655065257924176,1.0
1.0,0.2662481892805408,0.12679864799613713,0.17344278126508933,0.012168034765813617,0.2648961854176726,0.8553355866731048,0.3557701593433124,1.0
0.9997226074895977,0.1639389736477115,0.4314378178455848,0.0,0.963291724456773,0.6579750346740638,0.44835876098012023,0.6172907998150716,1.0
0.849906629318394,0.42366946778711484,0.3618113912231559,0.0,0.7683239962651728,0.11251167133520075,0.5766806722689075,0.44911297852474324,1.0
0.9850463117955586,0.14808615109920767,0.3281999776810624,0.0,0.7572815533980582,0.7510322508648588,0.6710188595022877,0.42015400066956815,0.9994420265595357
0.9998764516926119,0.9583642204101804,0.6823573017049667,0.0826538176426983,0.4744255003706449,0.6436866814924636,0.6886582653817642,0.8846058808994317,1.0
0.8607898756273183,0.6477198341697578,0.4889810168012219,0.014837442723107134,0.6891773947196159,0.2488544621427013,0.41468470434213395,0.059022474361771764,1.0
0.8505675309799021,0.27824638133916485,0.352077475788816,0.0,0.05769030511298553,0.8817036342809539,0.13599916692700198,0.49536603144850566,1.0
